ITL221-18,OOP Lab ,1,Mon,7:00 - 10:00AM
CIT221-18,OOP Lec ,2,Tue,10:00 - 12:00PM
CIT223-18,Info Management 2 ,2,Mon,12:00 - 2:00PM
ITL221-18,OOP Lab ,1,Mon,7:00 - 10:00AM
CIT221-18,OOP Lec ,2,Tue,10:00 - 12:00PM
ITLEL2-18,IT Elective 2 ,1,Tue,1:00 - 4:00PM
GECLWR-18,Life and Works Rizal ,3,Mon,2:30- 5:30PM
CIT225-18,Quantitative Methods ,3,Fri,1:00 - 4:00PM
CIT223-18,Info Management 2 ,2,Wed,8:00 - 10:00AM
ITL221-18,OOP Lab ,1,Thu,7:00 - 10:00AM
CIT221-18,OOP Lec ,2,Thu,4:00 - 6:00PM
ITL223-18,Info Management 2 Lab,2,Fri,7:00 - 10:00AM
CIT223-18,Info Management 2 ,2,Wed,8:00 - 10:00AM
ITL221-18,OOP Lab ,1,Sat,7:00 - 10:00AM
ITL221-18,OOP Lab ,1,Thu,7:00 - 10:00AM
CIT221-18,OOP Lec ,2,Thu,4:00 - 6:00PM
ITL223-18,Info Management 2 Lab,2,Fri,7:00 - 10:00AM
ITL221-18,OOP Lab ,1,Thu,7:00 - 10:00AM
CIT221-18,OOP Lec ,2,Thu,4:00 - 6:00PM
ITLEL2-18,IT Elective 2 ,1,Mon,1:00 - 4:00PM
GECLWR-18,Life and Works Rizal ,3,Tue,2:30- 5:30PM
CIT225-18,Quantitative Methods ,3,Wed,1:00 - 4:00PM
GECLWR-18,Life and Works Rizal ,3,Tue,2:30- 5:30PM
CIT225-18,Quantitative Methods ,3,Wed,1:00 - 4:00PM
ITL221-18,OOP Lab ,1,Thu,7:00 - 10:00AM
CIT221-18,OOP Lec ,2,Sat,10:00 - 12:00PM
ITLEL2-18,IT Elective 2 ,1,Sat,1:00 - 4:00PM
CIT223-18,Info Management 2 ,2,Sat,4:00 - 6:00PM
